"time [s]"," distance [m]"," watts [W]"," heartrate [bpm]"," cadence [rpm]"," velocity_smooth [m/s]"," altitude [msnm]"
"3667","13167.2","175","162","78","6.216","3052"
"3668","13176","207","162","76","6.832","3052.2"
"3669","13183.3","166","163","79","7.036","3052.4"
"3670","13189.5","165","163","78","7.092","3052.6"
"3671","13195.8","142","163","78","7.162","3052.6"
"3672","13202.2","135","164","78","6.998","3052.8"
"3673","13208.7","122","165","79","6.522","3052.6"
"3674","13215.7","125","165","78","6.49","3052.6"
"3675","13222.7","153","164","78","6.652","3052.8"
"3676","13230.8","153","165","79","6.988","3052.8"
"3677","13236.8","200","164","78","6.932","3053"
"3678","13242.6","171","164","77","6.794","3053"
"3679","13248.8","159","164","76","6.608","3053"
"3680","13253.8","192","164","76","6.206","3053"
"3681","13260.9","173","164","76","6.026","3053"
"3682","13268.7","157","164","78","6.368","3053.2"
"3683","13276.4","182","164","78","6.746","3053.6"
"3684","13281.6","252","164","78","6.574","3053.6"
"3685","13291.3","252","165","80","7.514","3053.8"
"3686","13299","196","165","82","7.622","3053.8"
"3687","13306.1","250","165","82","7.48","3054"
"3688","13312.8","250","166","82","7.282","3054"
"3689","13318.8","195","167","84","7.442","3054.2"
"3690","13325.3","206","167","84","6.8","3054.4"
"3691","13330.7","206","167","82","6.336","3054.4"
"3692","13334.7","152","166","80","5.73","3055"
"3693","13339.3","177","168","75","5.302","3055.2"
"3694","13343.5","183","168","78","4.924","3055.4"
"3695","13347.8","208","169","78","4.494","3055.6"
"3696","13353.5","171","169","83","4.554","3055.6"
"3697","13360.9","155","170","81","5.242","3055.4"
"3698","13368.8","138","170","85","5.904","3055.4"
"3699","13375.4","126","171","87","6.388","3055.2"
"3700","13382.3","131","171","87","6.904","3055.2"
"3701","13390.8","162","171","89","7.478","3055.2"
"3702","13398.2","137","171","88","7.46","3055.2"
"3703","13406","169","171","91","7.432","3055.2"
"3704","13413.2","131","171","91","7.55","3055.4"
"3705","13420.3","147","171","91","7.606","3055.2"
"3706","13427.7","169","171","90","7.376","3055.2"
"3707","13435.1","159","170","89","7.368","3055.2"
"3708","13442.4","142","169","86","7.292","3055.2"
"3709","13449.6","169","169","84","7.29","3055.2"
"3710","13456.5","239","169","84","7.238","3055.2"
"3711","13463.1","213","169","83","7.07","3055.2"
"3712","13469.2","197","169","84","6.832","3055.6"
"3713","13475","194","169","85","6.51","3055.6"
"3714","13480.2","164","170","80","6.124","3056"
"3715","13485.1","196","170","75","5.706","3056.4"
"3716","13490.1","228","170","72","5.398","3056.8"
"3717","13495.5","273","169","70","5.258","3057.2"
"3718","13500.8","262","169","71","5.156","3057.4"
"3719","13505.6","290","168","69","5.078","3057.6"
"3720","13510.2","280","168","66","5.018","3057.8"
"3721","13514.2","275","168","66","4.822","3058.2"
"3722","13517.7","275","169","63","4.434","3058.6"
"3723","13520.9","302","169","59","4.034","3058.8"
"3724","13524.3","306","169","58","3.744","3059"
"3725","13527.7","319","169","57","3.512","3059.2"
"3726","13531.4","376","169","58","3.444","3059.6"
"3727","13534.4","357","169","58","3.346","3060"
"3728","13538.9","357","170","59","3.592","3060.2"
"3729","13543","374","171","59","3.73","3060.6"
"3730","13547.4","374","171","61","3.938","3061"
"3731","13551.8","286","171","63","4.08","3061.2"
"3732","13556.1","245","171","63","4.34","3061.4"
"3733","13560.1","245","170","64","4.236","3061.6"
"3734","13564","201","170","62","4.198","3062"
"3735","13568.4","217","171","62","4.198","3062.4"
"3736","13572.6","217","170","58","4.158","3062.6"
"3737","13576.5","254","171","54","4.082","3062.8"
"3738","13579.9","232","171","54","3.97","3063"
"3739","13582.9","232","171","58","3.786","3063.2"
"3740","13586.5","246","171","61","3.628","3063.8"
"3741","13590.7","242","171","61","3.622","3064.2"
"3742","13593.9","242","171","61","3.466","3064.4"
"3743","13596.7","248","171","61","3.364","3064.6"
"3744","13599.3","248","171","60","3.268","3065"
"3745","13602.4","248","171","62","3.182","3065.4"
"3746","13605.6","208","171","62","2.984","3066"
"3747","13609.5","208","171","67","3.128","3066.2"
"3748","13612.1","232","171","69","3.07","3066.8"
"3749","13615.1","233","172","71","3.176","3067.2"
"3750","13618.7","230","171","85","3.254","3067.2"
"3751","13622.2","197","172","91","3.314","3067.4"
"3752","13624.9","245","171","90","3.078","3067.6"
"3753","13628.5","198","171","95","3.288","3067.8"
"3754","13631.7","179","172","92","3.322","3068.2"
"3755","13634.5","179","172","90","3.154","3068.4"
"3756","13637.7","219","172","84","3.104","3068.4"
"3757","13639.9","205","174","86","2.998","3068.6"
"3758","13642","197","173","85","2.692","3068.8"
"3759","13645.6","202","173","81","2.764","3068.8"
"3760","13648.5","240","173","76","2.8","3068.8"
"3761","13651.8","211","174","80","2.82","3069.4"
"3762","13655.6","193","174","75","3.146","3069.8"
"3763","13658.2","204","174","75","3.238","3070"
"3764","13660.8","204","175","77","3.046","3070.2"
"3765","13664.9","182","176","76","3.282","3070.2"
"3766","13667.5","193","176","76","3.148","3070.4"
"3767","13670.1","193","176","73","2.904","3070.6"
"3768","13672.5","201","176","72","2.858","3070.6"
"3769","13674.9","209","176","73","2.826","3070.8"
"3770","13677.8","215","176","76","2.574","3071"
"3771","13681","194","176","77","2.7","3071.4"
"3772","13684.4","175","175","76","2.848","3071.6"
"3773","13686.6","162","175","75","2.82","3071.6"
"3774","13689.3","164","175","74","2.886","3071.8"
"3775","13692","161","175","75","2.838","3072"
"3776","13694.2","159","175","74","2.62","3072.2"
"3777","13696.2","162","174","76","2.358","3072.4"
"3778","13698.8","144","173","73","2.448","3072.6"
"3779","13701.3","171","173","73","2.382","3073"
"3780","13704.1","192","173","76","2.436","3073.2"
"3781","13706","193","173","76","2.362","3073.4"
"3782","13708.3","193","172","75","2.426","3073.6"
"3783","13710.8","181","173","75","2.4","3073.6"
"3784","13713.1","155","173","78","2.372","3074.2"
"3785","13715.6","182","173","77","2.296","3074.4"
"3786","13718.3","196","173","75","2.47","3074.6"
"3787","13720.5","207","172","75","2.444","3074.8"
"3788","13722.6","181","172","74","2.356","3075"
"3789","13724.7","205","172","74","2.316","3075"
"3790","13726.9","205","171","78","2.258","3075.2"
"3791","13729.7","216","170","81","2.28","3075.2"
"3792","13732.9","254","172","78","2.482","3075.6"
"3793","13736","232","171","78","2.688","3075.8"
"3794","13739.2","246","171","79","2.894","3076"
"3795","13742.5","255","173","79","3.114","3076.2"
"3796","13745.8","255","173","66","3.216","3076.6"
"3797","13749.2","240","173","66","3.264","3076.8"
"3798","13752.6","240","175","72","3.316","3077.2"
"3799","13755.7","223","175","65","3.304","3077.4"
"3800","13758.4","226","175","65","3.18","3077.4"
"3801","13761.3","173","175","68","3.096","3077.8"
"3802","13764.5","201","175","72","3.058","3078.2"
"3803","13767","235","175","72","2.888","3078.4"
"3804","13770.2","235","175","77","2.892","3078.6"
"3805","13772.7","238","175","83","2.864","3078.8"
"3806","13776.1","239","176","89","2.97","3079"
"3807","13779.5","200","175","88","3.004","3079"
"3808","13783","193","175","86","3.196","3079.2"
"3809","13785.8","201","175","87","3.122","3079.2"
"3810","13788.3","195","175","81","3.132","3079.6"
"3811","13790.6","200","175","78","2.892","3080"
"3812","13792.9","217","175","78","2.674","3080.2"
"3813","13794.7","207","175","75","2.328","3080.2"
"3814","13797.4","182","175","75","2.328","3080.4"
"3815","13799.6","182","176","71","2.246","3080.6"
"3816","13801.8","240","176","69","2.244","3081"
"3817","13804.1","223","176","73","2.236","3081.2"
"3818","13806.3","177","176","75","2.336","3081.4"
"3819","13808.1","215","176","77","2.148","3081.6"
"3820","13811.3","192","176","80","2.348","3082"
"3821","13813.9","190","176","80","2.428","3082.2"
"3822","13816.5","193","176","80","2.48","3082.4"
"3823","13819.1","173","176","79","2.548","3082.4"
"3824","13822.1","169","176","80","2.794","3082.6"
"3825","13824.9","179","176","79","2.718","3082.6"
"3826","13827.5","201","176","77","2.716","3082.6"
"3827","13829.7","180","176","78","2.648","3082.8"
"3828","13833.1","189","175","79","2.81","3083"
"3829","13836.7","162","176","84","2.924","3083.4"
"3830","13839.3","248","176","84","2.88","3083.4"
"3831","13842.9","265","176","95","3.084","3083.6"
"3832","13846.3","239","176","94","3.31","3083.8"
"3833","13849.9","318","176","71","3.36","3083.8"
"3834","13853.8","334","175","86","3.416","3084"
"3835","13857.8","244","175","82","3.69","3084.2"
"3836","13861.8","304","175","79","3.778","3084.4"
"3837","13866.3","195","175","80","3.998","3084.4"
"3838","13870.7","277","175","82","4.156","3084.6"
"3839","13875","267","175","83","4.228","3084.8"
"3840","13879.1","243","176","86","4.27","3085"
"3841","13883.5","170","176","84","4.33","3085.4"
"3842","13887.6","146","176","79","4.268","3085.6"
"3843","13891.6","174","176","78","4.18","3085.8"
"3844","13895.5","184","176","76","4.116","3086.2"
"3845","13900.1","202","176","77","4.202","3086.6"
"3846","13904.1","162","176","76","4.132","3086.8"
"3847","13907.9","180","176","78","4.052","3086.8"
"3848","13911.8","163","176","78","4.032","3086.8"
"3849","13916.3","163","177","88","4.16","3086.8"
"3850","13921.3","173","178","94","4.244","3087"
"3851","13926.7","165","179","101","4.506","3087"
"3852","13932.3","110","178","33","4.884","3087.2"
"3853","13938.1","42","178","110","5.274","3087.2"
"3854","13944.2","51","177","117","5.566","3087.2"
"3855","13950.4","0","175","117","5.82","3087"
"3856","13957.1","0","175","0","6.08","3086.8"
"3857","13964.1","0","176","0","6.368","3086.6"
"3858","13971.2","0","176","0","6.616","3086.4"
"3859","13978.2","0","176","0","6.802","3086.2"
"3860","13985.3","0","176","0","6.976","3085.8"
"3861","13992.8","0","175","0","7.14","3085.6"
"3862","14000.6","0","174","0","7.29","3085.6"
"3863","14009","0","173","0","7.548","3085.2"
"3864","14017.4","0","172","0","7.85","3085"
"3865","14025.7","0","171","0","8.076","3084.8"
"3866","14034.5","0","171","0","8.338","3084.6"
"3867","14043.2","0","170","0","8.516","3084.6"
"3868","14051.6","0","169","0","8.528","3084.2"
"3869","14059.7","0","168","8","8.452","3084.2"
"3870","14067.5","49","167","62","8.354","3084"
"3871","14075.3","0","166","67","8.166","3084"
"3872","14083.1","0","166","67","7.994","3083.8"
"3873","14090.9","0","166","67","7.854","3083.8"
"3874","14098.3","0","165","0","7.734","3083.8"
"3875","14105.5","0","165","0","7.604","3083.8"
"3876","14112.5","0","166","0","7.432","3083.8"
"3877","14119","11","164","30","7.182","3083.6"
"3878","14125.5","181","163","91","6.922","3083.8"
"3879","14131.7","199","163","79","6.662","3084"
"3880","14137.5","173","162","79","6.4","3084"
"3881","14143.4","169","162","77","6.198","3084.4"
"3882","14149.6","192","163","76","6.108","3084.6"
"3883","14155.8","359","163","77","6.056","3084.6"
"3884","14162","551","163","79","6.074","3084.6"
"3885","14168.6","517","163","81","6.224","3084.8"
"3886","14174.9","292","164","84","6.288","3085"
"3887","14181","171","166","81","6.276","3085.2"
"3888","14187","354","166","78","6.244","3085.4"
"3889","14193.2","462","166","80","6.242","3085.8"
"3890","14199.5","495","167","80","6.18","3086.2"
"3891","14205.8","374","169","82","6.178","3086.4"
"3892","14212.4","345","169","81","6.292","3087"
"3893","14218.7","314","171","81","6.344","3087.4"
"3894","14224.7","236","172","78","6.288","3087.8"
"3895","14230.7","323","171","75","6.24","3088"
"3896","14236.7","238","171","75","6.194","3088.4"
"3897","14241.8","238","171","73","5.874","3088.6"
"3898","14247","254","172","70","5.666","3089"
"3899","14252.2","230","173","67","5.494","3089.4"
"3900","14258","223","173","67","5.464","3089.6"
"3901","14263.4","211","173","67","5.334","3089.8"
"3902","14270.5","211","175","64","5.748","3090.4"
"3903","14274.8","264","174","60","5.562","3090.6"
"3904","14280.3","372","175","60","5.622","3091"
"3905","14286.7","372","176","65","5.74","3091.2"
"3906","14292.4","341","176","68","5.8","3091.4"
"3907","14297.2","265","175","68","5.328","3091.6"
"3908","14304","171","175","71","5.832","3092"
"3909","14309.7","98","175","70","5.892","3092"
"3910","14315.1","139","175","67","5.676","3092.2"
"3911","14320","164","175","68","5.522","3092.4"
"3912","14325.4","181","175","60","5.65","3092.8"
"3913","14330.8","167","176","60","5.37","3092.8"
"3914","14336.1","167","176","67","5.28","3093"
"3915","14340.3","261","176","61","5.036","3093"
"3916","14344","160","176","69","4.806","3093.2"
"3917","14347.4","224","175","65","4.39","3093.4"
"3918","14350.8","257","176","62","3.98","3093.8"
"3919","14354.2","340","176","68","3.606","3094.2"
"3920","14357.3","218","176","79","3.392","3094.4"
"3921","14360.3","306","176","79","3.248","3094.8"
"3922","14363.1","306","176","89","3.14","3095"
"3923","14365.5","317","175","77","2.954","3095.2"
"3924","14367.8","298","175","77","2.724","3095.6"
"3925","14370","298","175","65","2.542","3096"
"3929","14377.1","222","176","73","1.872","3096.8"
"3930","14379.6","222","176","73","1.934","3097"
"3931","14382","189","176","72","2.012","3097.2"
"3932","14384.5","205","176","69","2.076","3097.2"
"3933","14386.6","188","175","71","2.079","3097.6"
"3934","14388.6","182","175","67","2.294","3098"
"3935","14391.4","154","175","65","2.346","3098.4"
"3936","14393.3","167","175","63","2.246","3098.6"
"3937","14395.1","189","175","63","2.116","3098.6"
"3938","14396.8","189","175","63","2.04","3098.8"
"3939","14398.5","216","176","66","1.988","3099"
"3940","14400.7","232","176","69","1.862","3099.4"
"3941","14403.5","245","176","71","2.044","3099.4"
"3942","14405.9","243","176","73","2.162","3099.8"
"3943","14409.3","256","176","73","2.502","3100"
"3944","14412","237","176","70","2.682","3100.2"
"3945","14414.7","239","176","70","2.804","3100.2"
"3946","14417.5","239","176","74","2.8","3100.6"
"3947","14420.3","203","176","75","2.89","3100.8"
"3948","14422.5","202","178","76","2.644","3101.2"
"3949","14425.6","160","178","78","2.726","3101.2"
"3950","14429.7","185","179","77","3.002","3101.4"
"3951","14432.6","170","180","79","3.032","3101.6"
"3952","14435.2","176","181","81","2.982","3101.6"
"3953","14438.1","176","181","85","3.112","3101.8"
"3954","14440.6","137","181","83","3","3102.2"
"3955","14443.2","151","180","77","2.694","3102.4"
"3956","14445.7","171","180","75","2.62","3102.6"
"3957","14448.5","163","181","73","2.652","3102.8"
"3958","14450.7","158","180","73","2.518","3102.8"
"3959","14453.4","155","180","73","2.56","3103"
"3960","14456.6","155","181","73","2.682","3103"
"3961","14459.2","162","180","70","2.696","3103.2"
"3962","14461.8","211","178","69","2.65","3103.4"
"3963","14464.5","214","178","77","2.76","3103.4"
"3964","14467.1","162","178","82","2.74","3103.6"
"3965","14470.4","167","179","80","2.77","3103.8"
"3966","14473.2","171","177","80","2.8","3104"
"3967","14475.8","227","178","82","2.814","3104.2"
"3968","14478.8","212","179","86","2.874","3104.4"
"3969","14481.7","176","177","90","2.924","3104.6"
"3970","14484.8","128","178","87","2.878","3104.8"
"3971","14487.9","133","178","90","2.936","3105.2"
"3972","14491","113","176","88","3.03","3105.4"
"3973","14494","148","176","88","3.034","3105.6"
"3974","14497","148","176","84","3.07","3105.8"
"3975","14499.8","138","175","82","3","3106"
"3976","14502.7","173","176","82","2.952","3106"
"3977","14505.4","173","176","77","2.88","3106.2"
"3978","14507.8","199","176","74","2.762","3106.4"
"3979","14510.3","207","176","73","2.64","3106.8"
"3980","14513","169","176","76","2.632","3107.2"
"3981","14515.7","179","176","74","2.612","3107.2"
"3982","14518.6","180","176","73","2.638","3107.6"
"3983","14521.5","191","175","77","2.74","3107.8"
"3984","14524.2","203","176","76","2.786","3108"
"3985","14526.3","196","175","73","2.662","3108.2"
"3986","14528.6","221","175","70","2.572","3108.2"
"3987","14530.9","261","175","70","2.462","3108.4"
"3988","14533","217","175","66","2.306","3108.4"
"3989","14535.4","222","175","70","2.25","3108.6"
"3990","14538.1","217","175","70","2.364","3108.6"
"3991","14540.9","217","176","80","2.46","3108.8"
"3992","14543.5","200","176","81","2.536","3109.2"
"3993","14546.4","203","176","81","2.664","3109.4"
"3994","14549.3","203","176","86","2.772","3109.4"
"3995","14552.2","171","176","89","2.816","3109.6"
"3996","14555","173","176","89","2.826","3109.8"
"3997","14557","108","176","86","2.696","3110.2"
"3998","14560","157","176","80","2.718","3110.4"
"3999","14562.9","266","176","80","2.714","3110.6"
"4000","14565.7","266","176","47","2.698","3110.8"
"4001","14568.3","194","177","92","2.662","3110.8"
"4002","14571.8","152","177","95","2.952","3110.8"
"4003","14575.5","171","178","87","3.106","3110.8"
"4004","14578.4","202","180","85","3.116","3110.8"
"4005","14582.2","180","179","81","3.302","3111.2"
"4006","14585.4","210","179","83","3.424","3111.4"
"4007","14588.2","232","179","75","3.276","3111.4"
"4008","14590.7","214","178","80","3.036","3111.6"
"4009","14593.3","196","178","78","2.982","3111.8"
"4010","14595.4","217","178","84","2.642","3112"
"4011","14598.3","149","179","88","2.562","3112.2"
"4012","14601.2","145","180","85","2.6","3112.4"
"4013","14604","119","178","87","2.674","3112.4"
"4016","14615.2","219","178","92","3.39","3113"
"4017","14618.6","219","178","92","3.478","3113"
"4018","14621.7","219","178","92","3.54","3113.2"
"4019","14625","171","178","89","3.495","3113.2"
"4020","14628.4","161","178","80","3.479","3113.4"
"4021","14630.8","180","178","79","3.11","3113.6"
"4022","14633.3","222","178","76","2.942","3113.8"
"4023","14635.3","236","179","78","2.708","3114.2"
"4024","14637.8","197","178","78","2.568","3114.2"
"4025","14640.7","197","179","66","2.452","3114.4"
"4026","14643.3","412","177","66","2.502","3114.4"
"4027","14645.9","398","176","76","2.52","3114.6"
"4028","14649.7","250","178","80","2.874","3114.8"
"4029","14652.6","318","176","70","2.942","3115"
"4030","14656.3","319","176","74","3.134","3115.4"
"4031","14660.1","279","177","75","3.374","3115.6"
"4032","14664.8","263","177","76","3.794","3115.8"
"4033","14667.9","255","178","75","3.652","3116"
"4034","14672.8","235","178","75","4.042","3116.4"
"4035","14677","198","178","74","4.136","3116.6"
"4036","14680.8","197","178","72","4.142","3116.8"
"4037","14684.5","210","177","72","3.936","3117.2"
"4038","14688.3","210","176","72","4.076","3117.6"
"4039","14690.9","210","178","70","3.622","3118"
"4040","14694.7","258","177","68","3.53","3118.2"
"4041","14697.7","278","178","69","3.362","3118.4"
"4044","14707.9","325","179","74","3.406","3119.4"
"4045","14711","325","178","74","3.276","3119.4"
"4046","14715.1","325","180","74","3.49","3119.8"
"4047","14719.5","279","179","74","3.638","3120"
"4048","14722.8","285","179","74","3.598","3120.2"
"4049","14726.1","248","179","74","3.642","3120.6"
"4050","14729.4","248","180","70","3.67","3121"
"4051","14732.7","199","180","65","3.52","3121.2"
"4052","14735.6","206","181","64","3.226","3121.6"
"4053","14738.4","239","181","62","3.108","3121.8"
"4054","14741.5","257","181","63","3.086","3122"
"4055","14744.8","288","181","66","3.086","3122.4"
"4056","14748.2","245","181","67","3.104","3122.6"
"4057","14751.8","216","181","66","3.234","3122.8"
"4058","14755.3","262","181","66","3.394","3123"
"4059","14758.8","315","181","70","3.45","3123"
"4060","14762.8","257","181","71","3.606","3123.4"
"4061","14766.7","258","181","69","3.694","3123.8"
"4062","14770.5","315","181","72","3.75","3124.2"
"4063","14774.5","291","181","77","3.82","3124.8"
"4064","14778.6","214","180","76","3.958","3125.2"
"4065","14782.3","210","181","73","3.892","3125.4"
"4066","14785.8","227","181","69","3.814","3125.6"
"4067","14789.3","320","181","69","3.744","3125.8"
"4068","14792.8","293","181","68","3.678","3126"
"4069","14797","295","182","68","3.674","3126.2"
"4070","14800.5","295","182","71","3.64","3126.4"
"4071","14804.6","271","182","74","3.768","3127"
"4072","14808.8","248","182","73","3.918","3127.4"
"4073","14813.1","238","181","74","4.052","3127.6"
"4074","14817.4","220","182","73","4.096","3127.8"
"4075","14821.5","230","181","71","4.198","3128"
"4076","14825.1","269","182","73","4.108","3128.4"
"4077","14828.6","249","182","74","3.95","3128.8"
"4078","14832.9","203","182","75","3.958","3129"
"4079","14835.9","150","182","75","3.692","3129.2"
"4080","14839.5","236","181","75","3.612","3129.4"
"4081","14843.3","236","181","73","3.622","3129.6"
"4082","14847","205","181","72","3.682","3129.8"
"4083","14851.4","232","181","72","3.704","3130"
"4084","14855.6","232","182","70","3.94","3130.2"
"4085","14859.6","226","183","68","4.008","3130.4"
"4086","14863.5","229","182","66","4.056","3130.6"
"4087","14866.4","216","182","75","3.874","3130.8"
"4088","14869.1","211","182","78","3.532","3131.2"
"4089","14871.6","252","182","78","3.198","3131.6"
"4090","14874.9","226","182","81","3.056","3132"
"4091","14878","209","182","78","2.894","3132.2"
"4092","14881","234","182","78","2.918","3132.4"
"4093","14884","250","182","79","2.984","3132.8"
"4094","14887.1","241","181","79","3.1","3133"
"4095","14889.8","246","181","82","2.996","3133.2"
"4096","14893","220","181","80","2.996","3133.4"
"4097","14896.4","195","181","79","3.084","3133.6"
"4098","14898.8","185","181","77","2.958","3134"
"4099","14901.6","228","181","72","2.904","3134.2"
"4100","14904.5","185","181","75","2.92","3134.4"
"4101","14907.2","175","181","73","2.85","3134.8"
"4102","14910","197","181","70","2.728","3135"
"4103","14912.6","217","182","68","2.764","3135.2"
"4104","14915.1","169","182","73","2.706","3135.6"
"4105","14917.8","165","182","74","2.666","3135.8"
"4106","14920.2","193","182","72","2.584","3136"
"4107","14922.6","194","182","71","2.51","3136.2"
"4108","14925.2","206","181","71","2.528","3136.4"
"4109","14928.2","206","182","71","2.618","3136.6"
"4110","14931.3","177","181","72","2.706","3136.8"
"4111","14934.2","152","181","72","2.804","3137.4"
"4112","14936.9","194","181","73","2.864","3137.6"
"4113","14939.5","194","181","74","2.846","3137.8"
"4114","14942","200","181","72","2.75","3138"
"4115","14944.4","169","182","74","2.624","3138"
"4116","14946.8","177","182","77","2.536","3138.2"
"4117","14949.3","181","182","77","2.474","3138.4"
"4118","14951.7","181","181","74","2.44","3138.6"
"4119","14953.6","185","180","71","2.326","3138.8"
"4120","14955.9","193","180","72","2.29","3138.8"
"4121","14958.5","188","180","66","2.32","3139"
"4122","14961.1","225","181","67","2.36","3139.2"
"4123","14963.8","246","181","75","2.43","3139.6"
"4124","14966.1","214","181","79","2.494","3139.8"
"4125","14968.4","194","181","76","2.506","3140"
"4126","14970.8","176","181","73","2.468","3140.2"
"4127","14973.3","264","181","71","2.438","3140.2"
"4128","14975.6","225","181","71","2.35","3140.6"
"4129","14978.3","225","181","74","2.438","3141"
"4130","14981.1","211","181","74","2.538","3141.2"
"4131","14983.6","219","181","74","2.56","3141.4"
"4132","14986.1","219","181","68","2.578","3141.4"
"4133","14988.8","260","181","69","2.65","3141.6"
"4134","14991.8","219","181","72","2.708","3142.2"
"4135","14994.8","202","181","73","2.746","3142.6"
"4136","14996.7","190","181","69","2.626","3143"
"4137","14999.2","196","181","67","2.606","3143.2"
"4138","15001.7","188","182","66","2.572","3143.2"
"4139","15004.2","221","181","68","2.478","3143.4"
"4140","15006.5","213","181","69","2.336","3143.8"
"4141","15009.3","205","181","66","2.52","3144"
"4142","15011.2","218","181","67","2.406","3144.4"
"4143","15014.2","224","181","66","2.506","3144.8"
"4144","15016.4","241","181","66","2.444","3145"
"4145","15018.3","195","180","70","2.362","3145"
"4146","15020.9","196","179","70","2.322","3145.2"
"4147","15023.2","207","180","74","2.404","3145.4"
"4148","15025.6","204","180","72","2.272","3145.4"
"4149","15028.2","213","179","72","2.352","3145.4"
"4150","15030.3","185","179","76","2.4","3145.4"
"4151","15033.5","214","180","77","2.508","3145.8"
"4152","15036.1","173","179","78","2.576","3146"
"4153","15038.8","170","180","77","2.638","3146.2"
"4154","15041.3","185","181","76","2.626","3146.4"
"4155","15043.8","191","181","77","2.69","3146.6"
"4156","15046.2","180","181","75","2.554","3146.8"
"4157","15048.6","177","180","75","2.508","3146.8"
"4158","15051","177","181","77","2.45","3147.2"
"4159","15053.5","148","180","76","2.446","3147.4"
"4160","15056.2","135","181","77","2.482","3147.6"
"4161","15058.8","142","182","76","2.51","3147.6"
"4162","15061.4","167","182","74","2.554","3147.8"
"4163","15064.1","183","182","76","2.61","3147.8"
"4164","15066.8","182","181","75","2.648","3148"
"4165","15069.1","179","180","75","2.592","3148"
"4166","15071.2","179","182","76","2.484","3148.4"
"4167","15073.2","153","180","72","2.358","3148.6"
"4168","15075.5","185","180","71","2.29","3148.8"
"4169","15078","172","180","68","2.244","3149"
"4170","15080.2","187","179","66","2.204","3149.2"
"4171","15082.1","199","179","66","2.174","3149.8"
"4172","15083.7","199","179","65","2.106","3150"
"4173","15085.5","185","178","62","1.994","3150.2"
"4174","15087.6","204","177","62","1.912","3150.2"
"4175","15089.5","204","179","64","1.864","3150.6"
"4176","15090.9","170","176","63","1.758","3150.6"
"4177","15092.1","174","176","64","1.67","3150.8"
"4178","15093.3","192","176","63","1.556","3150.8"
"4179","15095","163","176","63","1.494","3151.4"
"4180","15097.2","163","176","63","1.55","3151.6"
"4181","15099.5","158","176","64","1.73","3151.8"
"4182","15101.3","173","176","65","1.854","3152"
"4183","15103.9","218","176","71","2.122","3152.2"
"4184","15107.4","290","176","79","2.47","3152.4"
"4185","15111.4","317","176","87","2.834","3152.6"
"4186","15115.1","211","176","90","3.11","3152.6"
"4187","15118.4","239","176","82","3.408","3152.8"
"4188","15122.2","232","175","83","3.66","3152.8"
"4189","15126.2","251","176","80","3.766","3153.2"
"4190","15130.4","275","176","75","3.794","3153.4"
"4191","15134","271","175","74","3.79","3153.6"
"4192","15137.2","243","175","73","3.768","3154"
"4193","15139.8","225","176","76","3.522","3154.2"
"4194","15142","239","176","67","3.148","3154.4"
"4195","15145.2","395","177","68","2.958","3154.8"
"4196","15148.8","344","178","75","2.964","3155"
"4197","15152.6","259","179","77","3.072","3155.2"
"4198","15157.8","289","178","77","3.6","3155.2"
"4199","15161.7","283","180","79","3.946","3155.4"
"4200","15164.9","218","180","80","3.952","3155.6"
"4201","15168.4","213","181","80","3.906","3156.2"
"4202","15172","193","181","79","3.878","3156.4"
"4203","15175.9","221","181","75","3.632","3156.6"
"4204","15179.6","236","181","75","3.578","3157"
"4205","15183.1","236","181","70","3.628","3157.2"
"4206","15186.5","179","182","65","3.62","3157.4"
"4207","15189.5","203","182","66","3.498","3157.8"
"4208","15192.1","212","182","73","3.238","3158"
"4209","15194.6","188","182","67","3.014","3158.2"
"4210","15197.3","211","182","68","2.84","3158.2"
"4211","15199.9","241","182","76","2.692","3158.6"
"4212","15202.7","214","182","76","2.65","3158.8"
"4213","15205.2","198","182","75","2.606","3159.2"
"4214","15207.8","224","181","74","2.632","3159.2"
"4215","15209.9","253","181","75","2.52","3159.6"
"4216","15212.9","185","181","74","2.586","3160"
"4217","15215","194","181","71","2.462","3160.2"
"4218","15216.8","187","181","72","2.33","3160.4"
"4219","15219.2","191","181","72","2.272","3160.4"
"4220","15222","191","181","70","2.438","3160.8"
"4221","15224.2","191","181","69","2.264","3161.2"
"4222","15226.5","168","182","71","2.298","3161.4"
"4223","15229.2","180","181","70","2.474","3161.6"
"4224","15232","185","181","71","2.562","3161.8"
"4225","15234.9","181","182","72","2.566","3162"
"4226","15237.5","228","181","76","2.664","3162.2"
"4227","15240","169","181","76","2.7","3162.2"
"4228","15242.7","191","181","76","2.7","3162.4"
"4229","15244.9","242","181","78","2.59","3162.6"
"4230","15247","260","181","77","2.422","3162.8"
"4231","15249.2","186","182","78","2.334","3163.2"
"4232","15251.8","186","182","79","2.36","3163.4"
"4233","15254.5","214","182","81","2.356","3163.6"
"4234","15256.9","198","182","78","2.402","3163.8"
"4235","15259.2","196","182","83","2.44","3164"
"4236","15261.4","240","181","82","2.452","3164.2"
"4237","15263.3","224","181","73","2.286","3164.4"
"4238","15265.8","187","180","73","2.26","3164.6"
"4239","15268","193","181","73","2.214","3164.6"
"4240","15270.3","193","181","74","2.224","3164.8"
"4241","15272.8","203","181","74","2.264","3165"
"4242","15275","191","182","69","2.354","3165.4"
"4243","15277.2","212","182","69","2.286","3165.6"
